Size of Data  (KB),Server Data Size,Server Data Size (KB),Time to Send,Time to Receive,Processing Time,Topology,
3,4656,4.546875,91,40,131,,
3,8536,8.3359375,100,16,116,,
3,12416,12.125,88,37,125,,
3,16294,15.91210938,72,25,97,,
3,20170,19.69726563,85,30,115,,
3,24036,23.47265625,68,22,90,,
3,27924,27.26953125,77,49,126,,
3,31784,31.0390625,84,37,121,,
3,35666,34.83007813,100,40,140,,
3,39556,38.62890625,100,41,141,,
3,43436,42.41796875,102,35,137,,
3,47310,46.20117188,72,41,113,,
3,51180,49.98046875,66,18,84,,
3,55066,53.77539063,77,41,118,,
3,58940,57.55859375,80,34,114,,
3,62806,61.33398438,72,21,93,,
3,66684,65.12109375,110,44,154,,
3,70566,68.91210938,76,18,94,,
3,74456,72.7109375,88,34,122,,
3,78318,76.48242188,84,23,107,,
3,82192,80.265625,80,18,98,,
3,86056,84.0390625,91,53,144,,
3,89928,87.8203125,93,41,134,,
3,93800,91.6015625,104,34,138,,
3,97688,95.3984375,92,39,131,,
3,101562,99.18164063,92,18,110,,
3,105442,102.9707031,84,31,115,BAn15m2 (iteration 1),
3,4670,4.560546875,56,20,76,,
3,8542,8.341796875,67,20,87,,
3,12418,12.12695313,75,31,106,,
3,16290,15.90820313,82,49,131,,
3,20170,19.69726563,91,26,117,,
3,24050,23.48632813,79,32,111,,
3,27934,27.27929688,101,47,148,,
3,31814,31.06835938,78,19,97,,
3,35694,34.85742188,93,41,134,,
3,39562,38.63476563,93,38,131,,
3,43454,42.43554688,92,34,126,,
3,47336,46.2265625,91,32,123,,
3,51212,50.01171875,85,28,113,,
3,55096,53.8046875,102,42,144,,
3,58980,57.59765625,118,44,162,,
3,62866,61.39257813,147,72,219,,
3,66754,65.18945313,112,39,151,,
3,70632,68.9765625,114,41,155,,
3,74512,72.765625,105,33,138,,
3,78392,76.5546875,84,18,102,,
3,82266,80.33789063,86,36,122,,
3,86130,84.11132813,80,39,119,,
3,90010,87.90039063,97,34,131,,
3,93880,91.6796875,111,40,151,,
3,97768,95.4765625,91,23,114,,
3,101642,99.25976563,82,36,118,,
3,105518,103.0449219,95,38,133,BAn15m2 (iteration 2),
3,4656,4.546875,92,19,111,,
3,8536,8.3359375,85,24,109,,
3,12416,12.125,92,32,124,,
3,16294,15.91210938,79,25,104,,
3,20170,19.69726563,104,33,137,,
3,24036,23.47265625,102,29,131,,
3,27924,27.26953125,97,36,133,,
3,31784,31.0390625,95,38,133,,
3,35666,34.83007813,114,33,147,,
3,39556,38.62890625,207,141,348,,
3,43436,42.41796875,116,45,161,,
3,47310,46.20117188,96,21,117,,
3,51180,49.98046875,116,49,165,,
3,55066,53.77539063,97,31,128,,
3,58940,57.55859375,99,34,133,,
3,62806,61.33398438,114,56,170,,
3,66684,65.12109375,139,48,187,,
3,70566,68.91210938,117,38,155,,
3,74456,72.7109375,238,92,330,,
3,78318,76.48242188,650,543,1193,,
3,82192,80.265625,133,18,151,,
3,86056,84.0390625,96,23,119,,
3,89928,87.8203125,131,61,192,,
3,93800,91.6015625,152,44,196,,
3,97688,95.3984375,101,33,134,,
3,101562,99.18164063,172,54,226,,
3,105442,102.9707031,122,47,169,BAn15m2 (iteration 3),
3,4672,4.5625,68,36,104,,
3,8558,8.357421875,64,19,83,,
3,12432,12.140625,68,37,105,,
3,16308,15.92578125,66,36,102,,
3,20182,19.70898438,58,21,79,,
3,24058,23.49414063,66,36,102,,
3,27946,27.29101563,69,22,91,,
3,31836,31.08984375,58,30,88,,
3,35720,34.8828125,55,22,77,,
3,39588,38.66015625,123,35,158,,
3,43460,42.44140625,66,40,106,,
3,47332,46.22265625,109,35,144,,
3,51208,50.0078125,83,34,117,,
3,55076,53.78515625,98,29,127,,
3,58954,57.57226563,84,27,111,,
3,62850,61.37695313,75,25,100,,
3,66734,65.16992188,84,36,120,,
3,70622,68.96679688,74,29,103,,
3,74498,72.75195313,70,27,97,,
3,78380,76.54296875,66,20,86,,
3,82262,80.33398438,116,38,154,,
3,86152,84.1328125,92,39,131,,
3,90036,87.92578125,101,26,127,,
3,93898,91.69726563,77,42,119,,
3,97776,95.484375,69,27,96,,
3,101662,99.27929688,81,28,109,,
3,105548,103.0742188,82,18,100,BAn15m2 (iteration 4),
3,4680,4.5703125,57,19,76,,
3,8552,8.3515625,63,19,82,,
3,12422,12.13085938,57,23,80,,
3,16278,15.89648438,67,38,105,,
3,20146,19.67382813,81,19,100,,
3,24014,23.45117188,91,20,111,,
3,27896,27.2421875,60,22,82,,
3,31774,31.02929688,163,35,198,,
3,35650,34.81445313,63,37,100,,
3,39526,38.59960938,65,23,88,,
3,43408,42.390625,56,18,74,,
3,47272,46.1640625,65,18,83,,
3,51152,49.953125,68,18,86,,
3,55030,53.74023438,76,38,114,,
3,58914,57.53320313,73,26,99,,
3,62784,61.3125,92,55,147,,
3,66662,65.09960938,78,28,106,,
3,70538,68.88476563,57,29,86,,
3,74422,72.67773438,79,18,97,,
3,78300,76.46484375,71,29,100,,
3,82174,80.24804688,59,31,90,,
3,86052,84.03515625,86,35,121,,
3,89922,87.81445313,74,26,100,,
3,93778,91.58007813,76,29,105,,
3,97658,95.36914063,72,26,98,,
3,101530,99.15039063,71,17,88,,
3,105410,102.9394531,113,62,175,BAn15m2 (iteration 5),
3,4658,4.548828125,65,32,97,,
3,8530,8.330078125,60,20,80,,
3,12400,12.109375,57,20,77,,
3,16268,15.88671875,57,30,87,,
3,20140,19.66796875,89,18,107,,
3,24020,23.45703125,179,24,203,,
3,27888,27.234375,60,29,89,,
3,31770,31.02539063,55,29,84,,
3,35642,34.80664063,55,23,78,,
3,39520,38.59375,63,38,101,,
3,43408,42.390625,62,19,81,,
3,47286,46.17773438,69,25,94,,
3,51160,49.9609375,64,24,88,,
3,55014,53.72460938,65,25,90,,
3,58882,57.50195313,68,26,94,,
3,62750,61.27929688,73,26,99,,
3,66622,65.06054688,99,58,157,,
