Size of Data (KB),Server Data Size,Server Data Size (KB),Time to Send,Time to Receive,Processing Time,Topology
3,4670,4.560546875,89,20,109,
3,8544,8.34375,84,30,114,
3,12420,12.12890625,69,42,111,
3,16298,15.91601563,81,26,107,
3,20188,19.71484375,69,24,93,
3,24058,23.49414063,80,37,117,
3,27938,27.28320313,69,22,91,
3,31820,31.07421875,72,23,95,
3,35694,34.85742188,70,38,108,
3,39568,38.640625,69,18,87,
3,43440,42.421875,100,34,134,
3,47328,46.21875,90,20,110,
3,51210,50.00976563,91,55,146,
3,55076,53.78515625,86,27,113,
3,58954,57.57226563,84,31,115,
3,62822,61.34960938,73,19,92,
3,66716,65.15234375,84,52,136,
3,70592,68.9375,93,34,127,
3,74472,72.7265625,110,34,144,
3,78348,76.51171875,115,57,172,
3,82214,80.28710938,86,36,122,
3,86086,84.06835938,68,18,86,
3,89968,87.859375,100,41,141,
3,93842,91.64257813,100,37,137,
3,97722,95.43164063,114,44,158,
3,101600,99.21875,96,34,130,
3,105482,103.0097656,106,42,148,
3,109354,106.7910156,102,34,136,
3,113234,110.5800781,116,48,164,
3,117116,114.3710938,149,51,200,
3,121002,118.1660156,180,66,246,
3,124884,121.9570313,132,44,176,
3,128758,125.7402344,115,45,160,
3,132618,129.5097656,109,40,149,
3,136496,133.296875,112,44,156,
3,140372,137.0820313,113,43,156,
3,144248,140.8671875,106,34,140,BAn20m2 (iteration 1)
3,4678,4.568359375,95,39,134,
3,8544,8.34375,79,27,106,
3,12414,12.12304688,106,37,143,
3,16296,15.9140625,145,56,201,
3,20176,19.703125,91,32,123,
3,24056,23.4921875,80,23,103,
3,27932,27.27734375,83,30,113,
3,31800,31.0546875,91,36,127,
3,35668,34.83203125,85,32,117,
3,39526,38.59960938,97,35,132,
3,43388,42.37109375,96,41,137,
3,47246,46.13867188,92,35,127,
3,51126,49.92773438,74,27,101,
3,55006,53.71679688,85,33,118,
3,58882,57.50195313,69,21,90,
3,62758,61.28710938,72,20,92,
3,66624,65.0625,101,49,150,
3,70512,68.859375,85,33,118,
3,74386,72.64257813,75,40,115,
3,78266,76.43164063,81,34,115,
3,82144,80.21875,77,18,95,
3,86020,84.00390625,83,18,101,
3,89896,87.7890625,95,18,113,
3,93774,91.57617188,88,25,113,
3,97652,95.36328125,84,28,112,
3,101538,99.15820313,97,18,115,
3,105404,102.9335938,99,47,146,
3,109282,106.7207031,81,18,99,
3,113156,110.5039063,83,19,102,
3,117042,114.2988281,113,46,159,
3,120922,118.0878906,130,34,164,
3,124794,121.8691406,90,33,123,
3,128668,125.6523438,85,26,111,
3,132528,129.421875,156,71,227,
3,136400,133.203125,116,29,145,
3,140276,136.9882813,150,34,184,
3,144146,140.7675781,118,37,155,BAn20m2 (iteration 2)
3,4662,4.552734375,68,20,88,
3,8544,8.34375,74,35,109,
3,12420,12.12890625,64,31,95,
3,16296,15.9140625,59,31,90,
3,20178,19.70507813,82,35,117,
3,24056,23.4921875,83,33,116,
3,27928,27.2734375,84,49,133,
3,31814,31.06835938,78,27,105,
3,35688,34.8515625,84,38,122,
3,39558,38.63085938,111,35,146,
3,43430,42.41210938,62,18,80,
3,47300,46.19140625,85,48,133,
3,51176,49.9765625,77,18,95,
3,55048,53.7578125,81,35,116,
3,58918,57.53710938,84,34,118,
3,62796,61.32421875,77,29,106,
3,66684,65.12109375,85,36,121,
3,70560,68.90625,89,14,103,
3,74424,72.6796875,72,18,90,
3,78312,76.4765625,89,33,122,
3,82204,80.27734375,78,21,99,
3,86064,84.046875,86,43,129,
3,89946,87.83789063,92,18,110,
3,93834,91.63476563,72,32,104,
3,97710,95.41992188,100,40,140,
3,101586,99.20507813,123,18,141,
3,105464,102.9921875,95,21,116,
3,109318,106.7558594,74,20,94,
3,113190,110.5371094,147,78,225,
3,117056,114.3125,92,33,125,
3,120936,118.1015625,100,16,116,
3,124808,121.8828125,91,31,122,
3,128694,125.6777344,70,18,88,
3,132576,129.46875,139,58,197,
3,136444,133.2460938,131,81,212,
3,140326,137.0371094,99,47,146,
3,144196,140.8164063,95,33,128,BAn20m2 (iteration 3)
3,4684,4.57421875,61,20,81,
3,8554,8.353515625,64,19,83,
3,12426,12.13476563,71,33,104,
3,16306,15.92382813,56,32,88,
3,20184,19.7109375,70,31,101,
3,24074,23.50976563,60,23,83,
3,27952,27.296875,82,18,100,
3,31822,31.07617188,68,33,101,
3,35706,34.86914063,65,31,96,
3,39588,38.66015625,72,21,93,
3,43474,42.45507813,62,32,94,
3,47358,46.24804688,76,46,122,
3,51254,50.05273438,87,26,113,
3,55138,53.84570313,88,18,106,
3,59022,57.63867188,65,18,83,
3,62916,61.44140625,70,21,91,
3,66798,65.23242188,112,38,150,
3,70672,69.015625,96,19,115,
3,74544,72.796875,81,34,115,
3,78422,76.58398438,71,32,103,
3,82300,80.37109375,70,18,88,
3,86178,84.15820313,92,18,110,
3,90058,87.94726563,68,31,99,
3,93936,91.734375,105,55,160,
3,97806,95.51367188,95,38,133,
3,101690,99.30664063,135,64,199,
3,105574,103.0996094,103,33,136,
3,109456,106.890625,100,39,139,
3,113334,110.6777344,123,70,193,
3,117206,114.4589844,62,17,79,
3,121074,118.2363281,124,65,189,
3,124942,122.0136719,72,18,90,
3,128818,125.7988281,127,43,170,
3,132700,129.5898438,103,34,137,
3,136566,133.3652344,109,45,154,
3,140440,137.1484375,240,179,419,
3,144320,140.9375,112,41,153,BAn20m2 (iteration 4)
3,4664,4.5546875,65,29,94,
3,8540,8.33984375,85,35,120,
3,12426,12.13476563,55,22,77,
3,16298,15.91601563,63,18,81,
3,20162,19.68945313,91,35,126,
3,24034,23.47070313,72,27,99,
3,27920,27.265625,77,28,105,
3,31792,31.046875,87,29,116,
3,35644,34.80859375,90,37,127,
3,39542,38.61523438,219,174,393,
3,43410,42.39257813,83,25,108,
3,47286,46.17773438,97,24,121,
3,51162,49.96289063,54,20,74,
3,55056,53.765625,113,34,147,
3,58924,57.54296875,64,19,83,
3,62798,61.32617188,81,17,98,
3,66676,65.11328125,64,21,85,
3,70544,68.890625,71,20,91,
3,74422,72.67773438,100,33,133,
3,78292,76.45703125,120,45,165,
3,82166,80.24023438,93,33,126,
3,86052,84.03515625,100,36,136,
3,89950,87.84179688,74,30,104,
3,93826,91.62695313,76,24,100,
3,97696,95.40625,85,38,123,
3,101570,99.18945313,83,30,113,
3,105432,102.9609375,82,32,114,
3,109310,106.7480469,74,17,91,
3,113176,110.5234375,96,36,132,
